"from","to","database","source"
"BMP3","ACVR2B","omnipath","omnipath"
"BMP3","BMPR2","omnipath","omnipath"
"BMP3","BMPR1A","omnipath","omnipath"
"BMP3","BMPR1B","omnipath","omnipath"
"BMP3","ACVR2A","omnipath","omnipath"
"BMP3","ACVR1B","omnipath","omnipath"
"BMP4","ACVR1","nichenet_verschueren","nichenet_verschueren"
"BMP4","BMPR2","omnipath","omnipath"
"BMP4","BMPR1B","omnipath","omnipath"
"BMP4","BMPR1A","omnipath","omnipath"
"BMP4","GREM2","omnipath","omnipath"
"BMP4","ACVR2A","omnipath","omnipath"
"BMP4","ACVR2B","omnipath","omnipath"
"BMP5","HJV","omnipath","omnipath"
"BMP5","PTPRD","omnipath","omnipath"
"BMP5","ACVR1","omnipath","omnipath"
"BMP5","BMPR1A","omnipath","omnipath"
"BMP5","BMPR2","omnipath","omnipath"
"BMP5","ACVR2A","omnipath","omnipath"
"BMP5","BMPR1B","omnipath","omnipath"
"BMP5","ACVR2B","omnipath","omnipath"
"BMP6","BMPR2","omnipath","omnipath"
"BMP6","AMHR2","omnipath","omnipath"
"BMP6","BMPR1B","omnipath","omnipath"
"BMP6","BMPR1A","omnipath","omnipath"
"BMP6","HJV","omnipath","omnipath"
"BMP6","ACVR1","omnipath","omnipath"
"BMP6","ACVR2A","omnipath","omnipath"
"BMP6","ACVR2B","omnipath","omnipath"
"BMP7","ACVR2B","omnipath","omnipath"
"BMP7","BMPR2","omnipath","omnipath"
"BMP7","ACVR2A","omnipath","omnipath"
"BMP7","BMPR1A","omnipath","omnipath"
"BMP7","ACVR1","omnipath","omnipath"
"BMP7","ENG","omnipath","omnipath"
"BMP7","BMPR1B","omnipath","omnipath"
"BMP8A","TGFBR1","omnipath","omnipath"
"BMP8A","TGFBR2","omnipath","omnipath"
"BMP8A","ACVR1","omnipath","omnipath"
"BMP8A","BMPR1A","omnipath","omnipath"
"BMP8A","BMPR2","omnipath","omnipath"
"BMP8A","ACVR2A","omnipath","omnipath"
"BMP8A","BMPR1B","omnipath","omnipath"
"BMP8A","ACVR2B","omnipath","omnipath"
"BMP8B","PLAUR","omnipath","omnipath"
"BMP8B","ACVR1","omnipath","omnipath"
"BMP8B","BMPR1A","omnipath","omnipath"
"BMP8B","BMPR2","omnipath","omnipath"
"BMP8B","ACVR2A","omnipath","omnipath"
"BMP8B","ACVR2B","omnipath","omnipath"
"BMP8B","BMPR1B","omnipath","omnipath"
"BOC","LILRA6","omnipath","omnipath"
"BOC","PTCH1","omnipath","omnipath"
"BOC","SMO","omnipath","omnipath"
"BOC","PTCH2","omnipath","omnipath"
"BPI","SLAMF9","omnipath","omnipath"
"BST2","LILRA4","omnipath","omnipath"
"BTC","EGFR","omnipath","omnipath"
"BTC","ERBB4","omnipath","omnipath"
"BTC","ERBB3","omnipath","omnipath"
"BTC","ERBB2","omnipath","omnipath"
"BTLA","TNFRSF14","omnipath","omnipath"
"BTLA","VTCN1","omnipath","omnipath"
"BTLA","CD247","omnipath","omnipath"
"BTLA","CD79A","omnipath","omnipath"
"BTLA","CD276","omnipath","omnipath"
"BTN1A1","NEGR1","omnipath","omnipath"
"BTN1A1","JAML","omnipath","omnipath"
"BTN1A1","TARM1","omnipath","omnipath"
"BTN2A1","FAM187B","omnipath","omnipath"
"BTNL8","SIGLEC6","omnipath","omnipath"
"BTNL8","LILRB3","omnipath","omnipath"
"BTNL8","LILRA3","omnipath","omnipath"
"BTNL8","LILRB1","omnipath","omnipath"
"BTNL8","LILRB2","omnipath","omnipath"
"BTNL8","GP6","omnipath","omnipath"
"BTNL8","LILRA1","omnipath","omnipath"
"BTNL9","IL6R","nichenet_verschueren","nichenet_verschueren"
"BTNL9","LRFN5","omnipath","omnipath"
"C10orf99","GPR15","omnipath","omnipath"
"C1QA","CD93","omnipath","omnipath"
"C1QA","CSPG4","omnipath","omnipath"
"C1QA","CR1","omnipath","omnipath"
"C1QA","CD33","omnipath","omnipath"
"C1QB","LRP1","omnipath","omnipath"
"C1QB","CD33","omnipath","omnipath"
"C1QTNF1","AVPR2","omnipath","omnipath"
"C1QTNF5","MFRP","omnipath","omnipath"
"C3","C3AR1","omnipath","omnipath"
"C3","CR2","omnipath","omnipath"
"C3","ITGAM","omnipath","omnipath"
"C3","CD19","omnipath","omnipath"
"C3","CD46","omnipath","omnipath"
"C3","C5AR2","omnipath","omnipath"
"C3","ITGAX","omnipath","omnipath"
"C3","CR1","omnipath","omnipath"
"C3","ITGB2","omnipath","omnipath"
"C3","LRP1","omnipath","omnipath"
"C3","VSIG4","omnipath","omnipath"
"C4A","C5AR2","omnipath","omnipath"
"C4A","C3AR1","omnipath","omnipath"
"C4A","CR1","omnipath","omnipath"
"C4A","CR2","omnipath","omnipath"
"C4A","NRP1","omnipath","omnipath"
"C4A","CD46","omnipath","omnipath"
"C4B_2","CD46","omnipath","omnipath"
"C4B_2","CR1","omnipath","omnipath"
"C4BPA","BMPR2","omnipath","omnipath"
