"from","to","database","source"
"Angptl3","Itgav","omnipath","omnipath"
"Angptl3","Itgb3","omnipath","omnipath"
"Angptl3","Lpl","omnipath","omnipath"
"Angptl4","Cdh11","omnipath","omnipath"
"Angptl4","Cdh5","omnipath","omnipath"
"Angptl4","Gpihbp1","omnipath","omnipath"
"Angptl4","Itga5","omnipath","omnipath"
"Angptl4","Itgav","omnipath","omnipath"
"Angptl4","Itgb1","omnipath","omnipath"
"Angptl4","Itgb3","omnipath","omnipath"
"Angptl4","Lpl","omnipath","omnipath"
"Angptl4","Sdc1","omnipath","omnipath"
"Angptl4","Sdc2","omnipath","omnipath"
"Angptl4","Sdc3","omnipath","omnipath"
"Angptl4","Sdc4","omnipath","omnipath"
"Angptl4","Tie1","omnipath","omnipath"
"Angptl6","Tek","omnipath","omnipath"
"Angptl7","Pira1","omnipath","omnipath"
"Angptl7","Pira2","omnipath","omnipath"
"Angptl7","Lilra6","omnipath","omnipath"
"Angptl7","Pira6","omnipath","omnipath"
"Angptl7","Pirb","omnipath","omnipath"
"Angptl7","Gm14548","omnipath","omnipath"
"Angptl7","Gm15448","omnipath","omnipath"
"Angptl7","Pira12","omnipath","omnipath"
"Angptl7","Lilra5","omnipath","omnipath"
"Angptl7","Pira13","omnipath","omnipath"
"Anpep","Sele","omnipath","omnipath"
"Antxr1","Treml2","nichenet_verschueren","nichenet_verschueren"
"Anxa1","Dysf","omnipath","omnipath"
"Anxa1","Egfr","omnipath","omnipath"
"Anxa1","Fpr1","omnipath","omnipath"
"Anxa1","Fpr2","omnipath","omnipath"
"Anxa1","Fpr3","omnipath","omnipath"
"Anxa2","Dysf","omnipath","omnipath"
"Anxa2","Egfr","omnipath","omnipath"
"Anxa2","Plat","omnipath","omnipath"
"Anxa2","Robo4","omnipath","omnipath"
"Anxa2","Tlr2","omnipath","omnipath"
"Apln","Aplnr","omnipath","omnipath"
"Apln","Grm7","omnipath","omnipath"
"Apoa1","Abca1","omnipath","omnipath"
"Apoa1","Ldlr","omnipath","omnipath"
"Apoa1","Lrp1","omnipath","omnipath"
"Apoa1","Lrp2","omnipath","omnipath"
"Apoa2","Ldlr","omnipath","omnipath"
"Apoa2","Lrp1","omnipath","omnipath"
"Apoa2","Lrp2","omnipath","omnipath"
"Apoa4","Ldlr","omnipath","omnipath"
"Apoa4","Lrp1","omnipath","omnipath"
"Apoa4","Lrp2","omnipath","omnipath"
"Apoa5","Lpl","omnipath","omnipath"
"Apob","Adrb2","omnipath","omnipath"
"Apob","Calcr","omnipath","omnipath"
"Apob","Itgam","omnipath","omnipath"
"Apob","Gm49368","omnipath","omnipath"
"Apob","Itgb2","omnipath","omnipath"
"Apob","Itgb2l","omnipath","omnipath"
"Apob","Ldlr","omnipath","omnipath"
"Apob","Lrp1","omnipath","omnipath"
"Apob","Lrp2","omnipath","omnipath"
"Apob","Lrp8","omnipath","omnipath"
"Apob","Lsr","omnipath","omnipath"
"Apob","Olr1","omnipath","omnipath"
"Apob","Tlr4","omnipath","omnipath"
"Apob","Tlr6","omnipath","omnipath"
"Apob","Trem2","omnipath","omnipath"
"Apob","Vldlr","omnipath","omnipath"
"Apoc1","Vldlr","omnipath","omnipath"
"Apoc2","Ldlr","omnipath","omnipath"
"Apoc2","Lpl","omnipath","omnipath"
"Apoc2","Lrp1","omnipath","omnipath"
"Apoc2","Lrp2","omnipath","omnipath"
"Apoc3","Ldlr","omnipath","omnipath"
"Apoc3","Lrp1","omnipath","omnipath"
"Apoc3","Lrp2","omnipath","omnipath"
"Apoc3","Sdc2","omnipath","omnipath"
"Apoc3","Tlr2","omnipath","omnipath"
"Apoc4","Vldlr","omnipath","omnipath"
"Apod","Lepr","omnipath","omnipath"
"Apoe","App","omnipath","omnipath"
"Apoe","Ldlr","omnipath","omnipath"
"Apoe","Lrp1","omnipath","omnipath"
"Apoe","Lrp2","omnipath","omnipath"
"Apoe","Lrp5","omnipath","omnipath"
"Apoe","Lrp8","omnipath","omnipath"
"Apoe","Scarb1","omnipath","omnipath"
"Apoe","Sorl1","omnipath","omnipath"
"Apoe","Trem2","omnipath","omnipath"
"Apoe","Vldlr","omnipath","omnipath"
"Apoo","Il1rapl1","omnipath","omnipath"
"Apoo","Il1rapl2","omnipath","omnipath"
"App","Bace1","omnipath","omnipath"
"App","Cd74","omnipath","omnipath"
"App","Flt1","nichenet_verschueren","nichenet_verschueren"
"App","Fpr2","omnipath","omnipath"
"App","Fpr3","omnipath","omnipath"
"App","Gpc1","omnipath","omnipath"
"App","Lrp1","omnipath","omnipath"
"App","Ncstn","omnipath","omnipath"
"App","Ngfr","omnipath","omnipath"
"App","Sorl1","omnipath","omnipath"
"App","Tnfrsf21","omnipath","omnipath"
"Areg","Egfr","omnipath","omnipath"
"Areg","Erbb2","omnipath","omnipath"
"Areg","Erbb3","omnipath","omnipath"
"Areg","Mmp9","omnipath","omnipath"
"Arf1","Pld2","nichenet_verschueren","nichenet_verschueren"
"Armh4","Tnfrsf11b","nichenet_verschueren","nichenet_verschueren"
"Artn","Gfra1","omnipath","omnipath"
"Artn","Gfra2","omnipath","omnipath"
"Artn","Gfra3","omnipath","omnipath"
"Artn","Ncam1","omnipath","omnipath"
"Artn","Ret","omnipath","omnipath"
"Atp1b1","Negr1","omnipath","omnipath"
"AU040320","Ildr1","omnipath","omnipath"
